ContactID,ApplicationStatusDate,AcademicCurriculum,ApplicationsStatus,AcademicTerm,AcademicYear,FamilyEducationLevel,ApplicationSubmittedDate,CreatedTime,AcademicProgram,AcademicDegree,ClassLevel,CollegeAttend,CommonApp,FAFSAreceivedDate,Population,TransferCredits
945000001083429,2014-09-05,"Human Services SDC",Confirmed,Fall,2014,,"2014-09-01 22:00:00","2017-04-20 19:43:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,Returning,,1900-01-00,Readmit,NULL
945000001083431,2017-03-27,"Psych and Hum Dev",Confirmed,Summer,2017,,"2017-02-05 22:00:00","2017-04-20 11:42:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,"New Student",,1900-01-00,"Hiatus Transfer",NULL
945000001083433,2016-01-26,"ED Sustainability Ed",Confirmed,Fall,2016,,"2015-05-11 22:00:00","2017-04-20 11:41:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
945000001083433,2015-10-20,"ED Sustainability Ed","Confirmed Deferred",Fall,2015,,"2015-05-11 22:00:00","2017-04-20 11:38:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
945000001083435,2015-07-08,"ES Student Dir Comp","Confirmed Withdrew",Fall,2015,,"2014-03-11 22:00:00","2017-04-20 19:43:00","Baccalaureate Limited Residency","Bachelor of Arts",Junior,Returning,,1900-01-00,Readmit,NULL
945000001083435,2015-01-08,"ES Student Dir Comp","Confirmed Deferred",Spring,2015,,"2014-03-11 22:00:00","2017-04-20 11:37:00","Baccalaureate Limited Residency","Bachelor of Arts",Junior,Returning,,1900-01-00,Readmit,NULL
945000001083435,2014-05-08,"ES Student Dir Comp","Confirmed Prior Term",Summer,2015,,"2014-03-11 22:00:00","2017-04-20 11:36:00","Baccalaureate Limited Residency","Bachelor of Arts",Junior,Returning,,1900-01-00,Readmit,NULL
945000001083435,2014-04-17,"ES Student Dir Comp","Deferred Next Term",Summer,2014,,"2014-03-30 22:00:00","2017-04-20 11:34:00","Baccalaureate Limited Residency","Bachelor of Arts",Junior,Returning,,1900-01-00,Readmit,NULL
945000001083437,2014-01-03,"ED Secondary Ed",Confirmed,Spring,2014,,"2013-12-05 22:00:00","2017-04-20 11:33:00","Masters Limited Residency","MA Teacher Certification",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083439,2015-12-16,"ES Student Dir Comp",Confirmed,Spring,2016,,"2015-06-10 22:00:00","2017-04-20 11:39:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,Returning,,1900-01-00,Readmit,NULL
945000001083439,2015-08-03,"ES Student Dir Comp","Defer No Decision Next Term",Fall,2015,,"2015-06-10 22:00:00","2017-04-20 19:43:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,Returning,,1900-01-00,Readmit,NULL
945000001083439,2014-01-06,"ES Student Dir Comp","Withdraw No Decision",Spring,2014,,"2013-10-31 22:00:00","2017-04-20 11:33:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,Returning,,1900-01-00,Readmit,NULL
945000001083441,2016-03-15,CounAddiction,"Withdraw No Decision",Fall,2016,,"2016-02-16 22:00:00","2017-04-20 11:39:00","Masters Limited Residency","Master of Science",Graduate,Returning,,1900-01-00,Graduate,NULL
945000001083441,2014-12-10,CounClinMntlHlth,"Withdraw No Decision",Spring,2015,,"2014-12-02 22:00:00","2017-04-20 11:36:00","Masters Limited Residency","Post Master's Certification",Graduate,Returning,,1900-01-00,Readmit,NULL
945000001083443,2014-12-11,"Humanities SDC",Confirmed,Spring,2015,,"2014-10-13 22:00:00","2017-04-20 11:36:00","Baccalaureate Limited Residency","Bachelor of Arts",Junior,"New Student",,1900-01-00,Readmit,NULL
945000001083445,2015-08-18,"HD Student Dir Comp",Confirmed,Fall,2015,,"2015-07-13 22:00:00","2017-04-20 19:44:00","Baccalaureate Limited Residency","Bachelor of Arts",Sophomore,"New Student",,1900-01-00,"Hiatus Transfer",NULL
945000001083447,2014-06-04,"ED Sustainability Ed",Confirmed,Fall,2014,,"2014-02-20 22:00:00","2017-04-20 11:35:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,Returning,,1900-01-00,Doctoral,NULL
945000001083449,2016-04-13,"ED Sustainability Ed",Confirmed,Fall,2016,,"2016-02-21 22:00:00","2017-04-20 11:40:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
945000001083451,2015-06-18,"ED Sustainability Ed",Confirmed,Fall,2015,,"2015-04-07 22:00:00","2017-04-20 11:39:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
